year,sex,age_group,death_count,denominator,mortality_rate
2021,M,50-59,59,12826,0.00460003118665211
2021,M,60-69,124,9409,0.0131788712934424
2021,M,70-79,152,5270,0.028842504743833
2021,M,80+,186,2123,0.0876118699952897
2022,F,30-39,12,27243,4.4048012333443e-4
2022,F,40-49,14,27061,5.1734969143786e-4
2022,F,50-59,50,26086,0.00191673694702139
2022,F,60-69,90,21831,0.00412257798543356
2022,F,70-79,146,13273,0.010999773977247
2022,F,80+,310,6147,0.0504311046038718
2022,M,30-39,19,17128,0.00110929472209248
2022,M,40-49,20,15131,0.00132178970325821
2022,M,50-59,54,13096,0.00412339645693341
2022,M,60-69,107,9668,0.0110674389739346
2022,M,70-79,125,5484,0.0227935813274982
2022,M,80+,179,2298,0.0778938207136641
2023,F,30-39,10,26188,3.8185428440507e-4
2023,F,40-49,17,27201,6.2497702290357e-4
2023,F,50-59,49,26375,0.00185781990521327
2023,F,60-69,102,22348,0.00456416681582244
2023,F,70-79,155,14116,0.0109804477189005
2023,F,80+,380,6619,0.0574104849675178
2023,M,30-39,16,16471,9.7140428632141e-4
2023,M,40-49,23,15435,0.0014901198574668
2023,M,50-59,62,13285,0.00466691757621378
2023,M,60-69,93,9974,0.0093242430318829
2023,M,70-79,134,5752,0.0232962447844228
2023,M,80+,206,2464,0.0836038961038961
2024,F,30-39,8,25084,3.1892840057407e-4
2024,F,40-49,25,27261,9.1706100289791e-4
2024,F,50-59,48,26581,0.00180580113614988
2024,F,60-69,105,22812,0.00460284061020516
2024,F,70-79,172,15018,0.011452923158876
2024,F,80+,372,7110,0.0523206751054852
2024,M,30-39,14,15748,8.8900177800355e-4
2024,M,40-49,33,15642,0.00210970464135021
2024,M,50-59,58,13449,0.00431258829652762
2024,M,60-69,120,10252,0.0117050331642606
2024,M,70-79,157,6127,0.0256242859474457
2024,M,80+,191,2583,0.0739450251645374
